pixel_id,district,lon,lat,x_utm50n_m,y_utm50n_m,rad_2013,rad_2014,rad_2015,rad_2016,rad_2017,rad_2018,rad_2019,rad_2020,rad_2021,rad_2022,rad_2023,rad_2024,mean_rad_2013_2024,median_rad_2013_2024,std_rad_2013_2024,min_rad_2013_2024,max_rad_2013_2024,range_rad_2013_2024,cv_rad_2013_2024,change_2024_minus_2013,growth_rate_2024_vs_2013,trend_slope_rad_per_year,z_mean_rad_2013_2024,z_std_rad_2013_2024,z_range_rad_2013_2024,z_cv_rad_2013_2024,z_change_2024_minus_2013,z_growth_rate_2024_vs_2013,z_trend_slope_rad_per_year
同安区_117.917443_24.869353,同安区,117.91744328025835,24.86935311484981,592679.1685786393,2750793.600516981,0.0,0.0,0.0,0.0,0.0,0.6082079,0.8773235,0.527472,0.9768283,0.9346077,0.7132001,0.0,0.3864699583333333,0.263736,0.4223173303817908,0.0,0.9768283,0.9768283,1.092755908384317,0.0,0.0,0.06886967797202397,-0.8366305374010408,-0.7231303594183508,-0.7611566312756657,1.1855407302247354,-0.5830176508243161,-0.17426996348036905,-0.5684136084161115
同安区_117.917443_24.873845,同安区,117.91744328025835,24.873844691270413,592675.8186431192,2751290.9793083444,0.0,0.0,0.0,0.0,0.0,0.5031643,0.62082624,0.49833387,0.7192662,0.6512743,0.61521554,0.58377504,0.34932129083333335,0.500749085,0.31383512558928034,0.0,0.7192662,0.7192662,0.898413963948782,0.58377504,583.77504,0.07596636346153467,-0.8389129731630629,-0.7440527595042377,-0.7783210717797097,0.7953706243436066,-0.5354609290001576,0.09164409610509978,-0.562828598161449
同安区_117.917443_24.878336,同安区,117.91744328025835,24.878336267691004,592672.4681391648,2751788.3583912067,0.0,0.0,0.0,0.0,0.0,0.3864383,0.3541018,0.44312212,0.5041061,0.4586529,0.0,0.0,0.17886843500000002,0.0,0.22393958113068513,0.0,0.5041061,0.5041061,1.2519793172601141,0.0,0.0,0.024573883426572077,-0.8493856958762751,-0.7613904468299953,-0.7926597603340201,1.5052051983366679,-0.5830176508243161,-0.17426996348036905,-0.6032738917329407
同安区_117.921935_24.864862,同安区,117.92193485667896,24.864861538429217,593136.2941647754,2750299.284986954,0.0,0.0,0.0,0.0,0.0,1.3256589,1.4847593,0.8246221,1.4917878,1.3098035,1.0455056,0.7213766,0.6836261499999999,0.7729993500000001,0.645841871853267,0.0,1.4917878,1.4917878,0.9447296184519376,0.7213766,721.3766,0.1279902909090844,-0.8183730879577645,-0.6800203406403816,-0.7268387261966877,0.8883561292171791,-0.5242513385533132,0.15432267418355528,-0.5218863627035243
同安区_117.921935_24.869353,同安区,117.92193485667896,24.86935311484981,593132.9283944137,2750796.6638942207,0.0,0.0,0.0,0.0,0.0,2.1853428,2.5078228,1.5910399,2.4602814,1.9598979,1.3779163,0.9364205,1.0848934666666668,1.1571684,1.0506319022010164,0.0,2.5078228,2.5078228,0.9684194204146893,0.9364205,936.4205,0.1881753993006898,-0.7937189903729538,-0.6019505873392522,-0.6591281728678929,0.9359168993173044,-0.5067329757739074,0.2522768389215536,-0.4745213712519632
同安区_117.921935_24.873845,同安区,117.92193485667896,24.873844691270413,593129.5620528144,2751294.0430928734,0.0,0.0,0.0,0.0,0.0,1.6198024,1.227336,1.1945441,1.6153271,1.0521688,0.9076813,0.74021477,0.6964228725,0.823948035,0.6623055695808837,0.0,1.6198024,1.6198024,0.9510106513350962,0.74021477,740.21477,0.1221834866083847,-0.8175868498761248,-0.676845072665241,-0.7183075836669871,0.9009662287619933,-0.5227167035501342,0.16290360676310028,-0.5264562512260128
同安区_117.921935_24.878336,同安区,117.92193485667896,24.878336267691004,593126.1951399974,2751791.4225829504,0.0,0.0,0.0,0.0,0.0,0.48441184,0.46049848,0.5025373,0.601876,0.5087761,0.65990967,0.5997574,0.3181472325,0.47245516,0.28618859497927973,0.0,0.65990967,0.65990967,0.8995476488367057,0.5997574,599.7574,0.07199660723775847,-0.8408283254590064,-0.7493848024463542,-0.7822767066643123,0.7976466638987411,-0.5341589400548723,0.09892418507457064,-0.5659527508734539
同安区_117.926426_24.864862,同安区,117.92642643309958,24.864861538429217,593590.0707564434,2750302.3629209097,0.0,0.0,0.0,0.0,0.0,1.6164737,2.0926573,0.9608525,2.4451232,1.9804913,1.2608229,0.8917475,0.9373473666666666,0.9263,0.9370097281295044,0.0,2.4451232,2.4451232,0.9996397935822203,0.8917475,891.7475000000001,0.176938548251739,-0.8027843086696843,-0.6238643066363416,-0.6633065964551652,0.9985964013661509,-0.5103722225530273,0.23192794085310997,-0.48336464441536675
同安区_117.926426_24.869353,同安区,117.92642643309958,24.86935311484981,593586.6885827035,2750799.7422375306,0.0,0.0,0.0,0.0,0.0,3.0529835,3.161338,2.1847694,3.9390578,2.7690635,1.6399341,1.2866501,1.5028163666666667,1.4632920999999999,1.492869125987214,0.0,3.9390578,3.9390578,0.9933809340248827,1.2866501,1286.6500999999998,0.26102781188809765,-0.7680415640499766,-0.5166585880973128,-0.5637478820378158,0.9860308180420035,-0.4782018284645152,0.4118091387660192,-0.4171873563827722
同安区_117.926426_24.873845,同安区,117.92642643309958,24.873844691270413,593583.3058349426,2751297.121845462,0.0,0.0,0.0,0.0,0.0,1.8208108,1.4064652,1.545944,2.2935352,1.249886,0.96609974,0.8807027,0.8469536366666667,0.9234012199999999,0.8315909345913342,0.0,2.2935352,2.2935352,0.9818612242627647,0.8807027,880.7026999999999,0.14973074041957155,-0.8083381520750925,-0.6441958824850782,-0.67340871632112,0.9629033023085363,-0.5112719775017889,0.22689694876871114,-0.5047768777705214
