system:index,cf_cvg_mean,district,lit_area_km2,lit_threshold,main_band,mean_median_rad,mean_rad,median_band,min_cf_cvg,rad_max,rad_min,scale_m,source_dataset,total_light,valid_area_km2,year,.geo
0_00000000000000000000,99.20678645935386,湖里区,77.04873685189955,0.5,average_masked,42.40906338974151,40.94113216503362,median_masked,0,144.7164764404297,3.4320266246795654,500,NOAA/VIIRS/DNB/ANNUAL_V21,3154.461497651887,77.04873685189955,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000001,91.8100772745457,思明区,84.39078012328453,0.5,average_masked,23.857364132656183,23.811267015516975,median_masked,0,67.19600677490234,1.6587826013565063,500,NOAA/VIIRS/DNB/ANNUAL_V21,2009.3270571327525,84.39078012328453,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000002,91.78421581769436,翔安区,356.9045034256111,0.5,average_masked,6.282546765183065,6.427614043806055,median_masked,0,64.90830993652344,0.0,500,NOAA/VIIRS/DNB/ANNUAL_V21,2892.9231873206986,450.0607957954634,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000003,88.40407254215718,集美区,224.6871680302075,0.5,average_masked,13.937738512610728,14.099562868692933,median_masked,0,89.42164611816406,0.0,500,NOAA/VIIRS/DNB/ANNUAL_V21,3854.289365038898,273.2998135776335,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,88.68155316121161,海沧区,213.69372540968124,0.5,average_masked,17.731719173155174,17.638275056372915,median_masked,0,142.82211303710938,0.0,500,NOAA/VIIRS/DNB/ANNUAL_V21,3853.240866998062,218.42201960612732,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000005,89.67810238719615,同安区,389.4641619689347,0.5,average_masked,4.622602026611882,4.732281169422505,median_masked,0,69.9826431274414,0.0,500,NOAA/VIIRS/DNB/ANNUAL_V21,3165.4723981451575,668.5294003575327,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000000,100.65734604257676,湖里区,77.04873685189955,0.5,average_masked,37.3320713519605,37.54207214411814,median_masked,0,134.5216522216797,3.804508924484253,500,NOAA/VIIRS/DNB/ANNUAL_V21,2892.5502113844937,77.04873685189955,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000001,91.93261112163897,思明区,84.39078012328453,0.5,average_masked,21.28516967280461,21.19175976428219,median_masked,0,57.416358947753906,1.650587558746338,500,NOAA/VIIRS/DNB/ANNUAL_V21,1788.2811935708169,84.39078012328453,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000002,92.18889962151076,翔安区,366.35250575483957,0.5,average_masked,5.89784452940066,6.028799285651124,median_masked,0,46.762939453125,0.0,500,NOAA/VIIRS/DNB/ANNUAL_V21,2713.448368801729,450.0607957954634,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003,91.39729362951034,集美区,226.67412579160458,0.5,average_masked,13.709547390518312,13.85342851358464,median_masked,0,92.17008972167969,0.0,500,NOAA/VIIRS/DNB/ANNUAL_V21,3786.969690742636,273.2998135776335,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000004,89.23515755234801,海沧区,216.00828845312486,0.5,average_masked,15.88701081126292,16.23309175155759,median_masked,0,176.4088134765625,0.0,500,NOAA/VIIRS/DNB/ANNUAL_V21,3546.2508345346655,218.42201960612732,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000005,87.94716906588322,同安区,380.6423408143389,0.5,average_masked,4.1781401363396,4.227337317688099,median_masked,0,51.751705169677734,0.0,500,NOAA/VIIRS/DNB/ANNUAL_V21,2827.6923018410725,668.5294003575327,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000000,100.33818190200662,湖里区,77.04873685189955,0.5,average_masked,41.981766104847935,40.7416004449508,median_masked,0,132.77818298339844,4.48931884765625,500,NOAA/VIIRS/DNB/ANNUAL_V21,3139.040421174916,77.04873685189955,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000001,91.31926810266775,思明区,84.39078012328453,0.5,average_masked,24.173485982382413,24.44849392617667,median_masked,0,72.23113250732422,1.9788908958435059,500,NOAA/VIIRS/DNB/ANNUAL_V21,2063.116798962544,84.39078012328453,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000002,88.07413854281657,翔安区,379.4552300441168,0.5,average_masked,6.2766513855251,6.4199924047479975,median_masked,0,50.977718353271484,0.0,500,NOAA/VIIRS/DNB/ANNUAL_V21,2889.563990531761,450.0607957954634,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000003,87.49599044199284,集美区,227.9191774033693,0.5,average_masked,14.44056537843007,14.36756514046011,median_masked,0,81.05404663085938,0.0,500,NOAA/VIIRS/DNB/ANNUAL_V21,3927.520828666351,273.2998135776335,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000004,88.584496848953,海沧区,213.04150026617634,0.5,average_masked,16.687689963576272,16.78678496489803,median_masked,0,147.107666015625,0.0,500,NOAA/VIIRS/DNB/ANNUAL_V21,3667.1951053929793,218.42201960612732,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000005,82.30038155895602,同安区,389.0898386550866,0.5,average_masked,4.348812845854596,4.441107256667926,median_masked,0,50.977718353271484,0.0,500,NOAA/VIIRS/DNB/ANNUAL_V21,2970.706321725838,668.5294003575327,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000000,82.29055681700301,湖里区,77.04873685189955,0.5,average_masked,35.511107636006976,36.773050410678195,median_masked,0,106.02657318115234,4.339770317077637,500,NOAA/VIIRS/DNB/ANNUAL_V21,2833.2988905504812,77.04873685189955,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000001,69.63491461899645,思明区,84.39078012328453,0.5,average_masked,21.315214976129013,21.819549755534247,median_masked,0,58.10186767578125,1.9622910022735596,500,NOAA/VIIRS/DNB/ANNUAL_V21,1841.2824788134735,84.39078012328453,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000002,70.4765809809178,翔安区,389.38977597934974,0.5,average_masked,6.339638931972489,6.729660407414,median_masked,0,47.716148376464844,0.0,500,NOAA/VIIRS/DNB/ANNUAL_V21,3029.005196057282,450.0607957954634,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
